Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Tunisia,2018,58.9,49.4,41.7,36.8,73.0,75.5,61.6,81.4,52.9,77.2,82.1,45.0,30.0
United Arab Emirates,2018,77.6,76.3,83.4,77.3,98.4,70.9,99.0,79.9,81.1,80.2,84.3,40.0,60.0
Yemen,2018,N/A,17.9,16.6,21.2,N/A,80.9,5.4,52.7,52.1,66.6,N/A,50.0,N/A
Algeria,2017,46.5,38.2,29.6,31.7,81.1,51.0,19.8,62.1,49.5,67.0,63.3,35.0,30.0
Bahrain,2017,68.5,64.2,53.7,55.5,99.9,69.8,12.0,69.4,78.7,80.7,82.8,75.0,80.0
Egypt,2017,52.6,35.4,56.3,32.7,86.1,63.0,4.6,66.8,51.3,69.6,70.2,55.0,40.0
Iran,2017,50.5,32.4,36.0,29.6,81.1,92.7,94.9,64.8,54.5,55.5,54.5,0.0,10.0
Iraq,2017,N/A,37.3,15.9,19.1,N/A,36.1,11.3,61.2,68.0,76.9,N/A,N/A,N/A
Israel,2017,69.7,71.9,82.0,47.6,61.0,50.5,71.8,69.9,64.3,84.9,88.0,75.0,70.0
Jordan,2017,66.7,60.1,49.5,49.8,91.3,73.3,55.5,63.9,58.1,86.7,82.0,70.0,60.0
Kuwait,2017,65.1,55.5,56.4,41.3,97.7,40.8,99.8,61.2,61.5,73.6,78.7,55.0,60.0
Lebanon,2017,53.3,43.8,25.3,23.3,91.8,76.1,0.0,51.5,49.5,78.4,84.4,65.0,50.0
Libya,2017,N/A,6.8,22.6,26.7,95.0,0.0,11.4,65.0,52.5,69.2,80.0,N/A,N/A
Morocco,2017,61.5,55.0,41.9,37.1,71.7,69.4,55.0,67.7,33.8,82.7,84.0,70.0,70.0
Oman,2017,62.1,60.8,52.3,47.6,98.5,20.5,36.3,68.4,70.3,80.6,85.2,65.0,60.0
Qatar,2017,73.1,74.8,63.0,59.0,99.6,71.2,97.4,68.1,65.4,80.6,83.1,55.0,60.0
Saudi Arabia,2017,64.4,62.0,65.0,45.9,99.7,54.5,65.7,73.8,68.5,70.1,78.2,40.0,50.0
Syria,2017,N/A,37.3,22.6,30.0,N/A,N/A,0.0,66.4,55.7,N/A,56.6,N/A,N/A
Tunisia,2017,55.7,49.6,39.9,37.3,73.7,73.4,53.4,80.6,56.1,75.9,63.8,35.0,30.0
United Arab Emirates,2017,76.9,76.7,85.0,74.2,96.4,67.4,99.2,81.1,80.9,78.4,83.5,40.0,60.0
Yemen,2017,N/A,37.3,22.6,17.4,N/A,77.2,10.6,51.4,54.2,59.7,N/A,N/A,N/A
Algeria,2016,50.1,25.0,N/A,36.0,81.0,59.4,N/A,62.1,48.2,68.1,60.8,30.0,30.0
Bahrain,2016,74.3,60.0,N/A,49.0,99.9,75.4,N/A,71.9,79.1,74.6,82.6,70.0,80.0
Egypt,2016,56.0,20.0,N/A,37.0,85.6,65.9,N/A,68.3,51.4,65.8,70.6,55.0,40.0
Iran,2016,43.5,10.0,N/A,27.0,81.2,93.2,N/A,59.3,49.0,50.6,54.6,0.0,10.0
Iraq,2016,N/A,N/A,N/A,16.0,N/A,29.7,N/A,63.2,68.5,75.0,N/A,N/A,N/A
Israel,2016,70.7,75.0,N/A,60.0,60.6,48.8,N/A,70.6,64.6,84.2,88.2,85.0,70.0
Jordan,2016,68.3,60.0,N/A,49.0,91.7,62.0,N/A,64.9,68.4,83.1,73.4,70.0,60.0
Kuwait,2016,62.7,45.0,N/A,44.0,97.7,57.7,N/A,63.4,62.7,74.2,77.2,55.0,50.0
Lebanon,2016,59.5,20.0,N/A,27.0,91.3,75.7,N/A,59.1,57.3,79.0,75.8,60.0,50.0
Libya,2016,N/A,10.0,N/A,18.0,95.0,0.0,N/A,55.5,63.1,74.0,N/A,5.0,N/A
Morocco,2016,61.3,40.0,N/A,39.0,71.5,65.6,N/A,66.4,34.3,84.1,81.8,70.0,60.0
Oman,2016,67.1,55.0,N/A,45.0,98.5,36.8,N/A,70.1,72.5,77.9,85.0,70.0,60.0
Qatar,2016,70.7,65.0,N/A,69.0,99.7,70.4,N/A,71.4,70.7,74.1,81.8,45.0,60.0
Saudi Arabia,2016,62.1,40.0,N/A,49.0,99.7,56.8,N/A,69.9,68.5,69.2,77.8,40.0,50.0
Syria,2016,N/A,10.0,N/A,20.0,N/A,N/A,N/A,62.4,46.9,42.7,56.6,0.0,20.0
Tunisia,2016,57.6,40.0,N/A,40.0,74.0,73.4,N/A,81.3,64.0,75.6,62.2,35.0,30.0
United Arab Emirates,2016,72.6,55.0,N/A,70.0,95.0,76.1,N/A,79.6,80.7,81.3,82.8,45.0,60.0
Yemen,2016,N/A,30.0,N/A,19.0,N/A,N/A,N/A,51.9,54.4,71.0,N/A,N/A,30.0
Algeria,2015,48.9,30.0,N/A,36.0,80.0,38.7,N/A,66.6,50.5,71.2,60.8,25.0,30.0
Bahrain,2015,73.4,60.0,N/A,48.0,99.9,73.1,N/A,72.5,83.1,74.2,78.6,65.0,80.0
Egypt,2015,55.2,20.0,N/A,32.0,85.8,68.0,N/A,65.4,53.6,67.4,70.0,50.0,40.0
Iran,2015,41.8,10.0,N/A,25.0,81.2,93.0,N/A,57.0,51.3,48.7,41.4,0.0,10.0
Iraq,2015,N/A,N/A,N/A,16.0,N/A,43.8,N/A,57.7,74.4,73.6,N/A,N/A,N/A
Israel,2015,70.5,75.0,N/A,61.0,61.9,47.8,N/A,72.4,67.1,81.6,88.6,80.0,70.0
Jordan,2015,69.3,60.0,N/A,45.0,93.7,70.7,N/A,59.1,74.4,80.6,79.6,70.0,60.0
Kuwait,2015,62.5,45.0,N/A,43.0,97.7,61.1,N/A,58.6,64.2,74.0,76.2,55.0,50.0
Lebanon,2015,59.3,20.0,N/A,28.0,91.3,70.6,N/A,54.7,60.7,72.0,75.8,60.0,60.0
Libya,2015,N/A,10.0,N/A,15.0,95.0,37.5,N/A,46.8,66.7,71.4,80.0,5.0,N/A
Morocco,2015,60.1,40.0,N/A,37.0,70.9,61.0,N/A,68.8,33.4,81.9,78.2,70.0,60.0
Oman,2015,66.7,55.0,N/A,47.0,98.5,44.2,N/A,68.4,76.1,76.2,76.8,65.0,60.0
Qatar,2015,70.8,70.0,N/A,68.0,99.7,71.9,N/A,70.5,71.2,79.7,81.8,45.0,50.0
Saudi Arabia,2015,62.1,40.0,N/A,46.0,99.7,61.9,N/A,65.8,72.7,68.4,76.4,40.0,50.0
Syria,2015,N/A,10.0,N/A,17.0,N/A,N/A,N/A,57.3,49.1,N/A,N/A,0.0,20.0
Tunisia,2015,57.7,40.0,N/A,41.0,74.3,70.8,N/A,81.2,69.1,74.8,61.2,35.0,30.0
United Arab Emirates,2015,72.4,55.0,N/A,69.0,99.5,85.8,N/A,74.7,83.8,83.8,82.4,40.0,50.0
Yemen,2015,53.7,30.0,N/A,18.0,91.5,59.9,N/A,54.0,57.1,68.5,77.6,50.0,30.0
Algeria,2014,50.8,30.0,N/A,28.7,80.5,51.0,N/A,66.3,48.3,67.8,60.8,45.0,30.0
Bahrain,2014,75.1,60.0,N/A,49.4,99.9,71.4,N/A,76.3,82.0,78.4,78.6,75.0,80.0
Egypt,2014,52.9,20.0,N/A,28.6,85.6,69.6,N/A,62.7,45.7,60.5,71.4,45.0,40.0
Iran,2014,40.3,10.0,N/A,23.4,80.6,85.9,N/A,62.3,41.7,47.3,41.4,0.0,10.0
Iraq,2014,N/A,N/A,N/A,13.7,95.5,40.3,N/A,56.9,73.4,70.0,N/A,N/A,N/A
Israel,2014,68.4,75.0,N/A,59.3,60.1,40.3,N/A,73.2,63.0,80.6,82.9,80.0,70.0
Jordan,2014,69.2,60.0,N/A,45.6,94.0,66.9,N/A,62.0,72.9,81.3,79.6,70.0,60.0
Kuwait,2014,62.3,50.0,N/A,43.7,97.7,55.6,N/A,57.7,63.6,73.2,76.7,55.0,50.0
Lebanon,2014,59.4,20.0,N/A,24.5,90.9,73.7,N/A,55.6,58.7,74.5,75.8,60.0,60.0
Libya,2014,N/A,10.0,N/A,18.3,95.0,0.0,N/A,50.1,77.9,66.9,N/A,5.0,20.0
Morocco,2014,58.3,40.0,N/A,33.3,71.3,64.1,N/A,76.2,31.5,78.1,58.8,70.0,60.0
Oman,2014,67.4,50.0,N/A,48.2,98.5,56.0,N/A,68.3,75.5,73.6,78.7,65.0,60.0
Qatar,2014,71.2,70.0,N/A,72.4,99.9,72.1,N/A,71.7,70.0,81.2,79.8,45.0,50.0
Saudi Arabia,2014,62.2,40.0,N/A,43.7,99.7,63.1,N/A,67.3,75.8,68.7,74.0,40.0,50.0
Syria,2014,N/A,10.0,N/A,23.3,N/A,N/A,N/A,60.4,55.1,N/A,N/A,0.0,20.0
Tunisia,2014,57.3,40.0,N/A,39.2,74.3,63.8,N/A,80.7,72.6,75.9,61.8,35.0,30.0
United Arab Emirates,2014,71.4,55.0,N/A,66.4,99.6,83.1,N/A,74.4,82.9,84.6,82.5,35.0,50.0
Yemen,2014,55.5,30.0,N/A,19.4,91.7,74.9,N/A,59.2,54.9,62.1,82.4,50.0,30.0
Algeria,2013,49.6,30.0,N/A,29.0,80.4,44.1,N/A,65.2,52.6,76.6,67.8,20.0,30.0
Bahrain,2013,75.5,55.0,N/A,51.0,99.9,72.4,N/A,75.8,90.4,72.5,82.8,75.0,80.0
Egypt,2013,54.8,35.0,N/A,29.0,85.6,69.4,N/A,63.3,43.3,58.4,73.8,50.0,40.0
Iran,2013,43.2,10.0,N/A,27.0,80.8,80.5,N/A,65.3,55.0,58.0,45.7,0.0,10.0
Iraq,2013,N/A,N/A,N/A,18.0,N/A,N/A,N/A,47.0,70.1,N/A,N/A,N/A,N/A
Israel,2013,66.9,70.0,N/A,58.0,60.2,39.3,N/A,66.1,63.7,78.6,83.0,80.0,70.0
Jordan,2013,70.4,60.0,N/A,45.0,93.6,68.8,N/A,69.2,75.5,82.0,79.6,70.0,60.0
Kuwait,2013,63.1,50.0,N/A,46.0,99.9,61.5,N/A,57.7,62.8,71.6,76.8,55.0,50.0
Lebanon,2013,59.5,20.0,N/A,25.0,90.8,74.6,N/A,50.3,57.2,76.5,80.4,60.0,60.0
Libya,2013,N/A,10.0,N/A,20.0,N/A,N/A,N/A,N/A,N/A,64.8,85.0,10.0,20.0
Morocco,2013,59.6,40.0,N/A,34.0,71.4,64.3,N/A,76.4,30.1,78.9,70.8,70.0,60.0
Oman,2013,68.1,50.0,N/A,48.0,98.5,69.1,N/A,68.1,80.9,72.7,78.7,55.0,60.0
Qatar,2013,71.3,70.0,N/A,72.0,99.8,81.2,N/A,69.4,63.4,80.3,82.5,45.0,50.0
Saudi Arabia,2013,60.6,40.0,N/A,44.0,99.6,52.2,N/A,68.2,69.2,65.7,77.3,40.0,50.0
Syria,2013,N/A,20.0,N/A,26.0,86.2,N/A,N/A,59.3,48.9,71.5,72.8,10.0,20.0
Tunisia,2013,57.0,40.0,N/A,38.0,74.5,63.7,N/A,82.8,70.1,77.8,58.1,35.0,30.0
United Arab Emirates,2013,71.1,55.0,N/A,68.0,99.9,85.1,N/A,74.0,77.6,83.9,82.6,35.0,50.0
Yemen,2013,55.9,30.0,N/A,21.0,91.5,72.8,N/A,61.3,55.3,65.7,81.5,50.0,30.0
Algeria,2012,51.0,30.0,N/A,29.0,82.9,47.9,N/A,66.3,54.4,76.3,72.8,20.0,30.0
Bahrain,2012,75.2,55.0,N/A,49.0,99.9,72.2,N/A,76.5,91.1,70.4,82.8,75.0,80.0
Egypt,2012,57.9,35.0,N/A,31.0,89.7,64.1,N/A,63.8,53.7,62.3,74.0,65.0,40.0
Iran,2012,42.3,10.0,N/A,22.0,80.6,76.9,N/A,64.8,51.5,62.0,45.7,0.0,10.0
Iraq,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Israel,2012,67.8,70.0,N/A,61.0,64.1,41.0,N/A,64.4,65.1,79.0,83.6,80.0,70.0
Jordan,2012,69.9,55.0,N/A,47.0,93.5,67.0,N/A,69.5,75.7,81.2,79.6,70.0,60.0
Kuwait,2012,62.5,50.0,N/A,45.0,99.9,47.2,N/A,61.8,63.5,71.3,81.6,55.0,50.0
Lebanon,2012,60.1,25.0,N/A,25.0,90.8,68.2,N/A,53.9,60.6,76.9,80.4,60.0,60.0
Libya,2012,35.9,10.0,N/A,22.0,80.2,17.9,N/A,20.0,20.0,73.6,85.0,10.0,20.0
Morocco,2012,60.2,40.0,N/A,34.0,69.7,74.8,N/A,77.2,27.6,77.9,75.7,65.0,60.0
Oman,2012,67.9,50.0,N/A,53.0,98.4,53.6,N/A,68.2,85.1,72.1,83.7,55.0,60.0
Qatar,2012,71.3,70.0,N/A,77.0,99.7,73.6,N/A,69.7,67.9,77.1,82.5,45.0,50.0
Saudi Arabia,2012,62.5,45.0,N/A,47.0,99.6,37.3,N/A,87.5,71.1,64.9,82.3,40.0,50.0
Syria,2012,51.2,30.0,N/A,25.0,84.4,78.5,N/A,60.1,50.0,70.9,72.8,20.0,20.0
Tunisia,2012,58.6,40.0,N/A,43.0,74.8,71.5,N/A,82.9,74.1,76.9,58.1,35.0,30.0
United Arab Emirates,2012,69.3,55.0,N/A,63.0,99.9,80.1,N/A,68.0,78.8,80.9,82.6,35.0,50.0
Yemen,2012,55.3,30.0,N/A,22.0,83.1,62.8,N/A,71.5,57.3,69.3,81.5,45.0,30.0
Algeria,2011,52.4,30.0,N/A,28.0,83.5,62.4,N/A,69.4,52.9,75.4,72.8,20.0,30.0
Bahrain,2011,77.7,60.0,N/A,51.0,99.8,80.2,N/A,77.4,97.0,74.0,82.8,75.0,80.0
Egypt,2011,59.1,40.0,N/A,28.0,89.6,65.3,N/A,64.5,53.6,60.8,74.0,65.0,50.0
Iran,2011,42.1,10.0,N/A,18.0,81.1,76.0,N/A,69.4,50.7,60.7,44.8,0.0,10.0
Iraq,2011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Israel,2011,68.5,70.0,N/A,61.0,62.3,44.8,N/A,66.1,64.3,78.4,87.8,80.0,70.0
Jordan,2011,68.9,55.0,N/A,50.0,92.7,60.9,N/A,65.8,74.2,81.4,78.8,70.0,60.0
Kuwait,2011,64.9,50.0,N/A,41.0,99.9,69.7,N/A,64.4,67.9,69.3,81.6,55.0,50.0
Lebanon,2011,60.1,25.0,N/A,25.0,91.0,64.9,N/A,57.5,59.0,77.7,80.5,60.0,60.0
Libya,2011,38.6,10.0,N/A,25.0,80.3,44.5,N/A,20.0,20.0,71.0,85.0,10.0,20.0
Morocco,2011,59.6,40.0,N/A,33.0,67.8,74.6,N/A,75.7,27.2,76.5,75.8,65.0,60.0
Oman,2011,69.8,50.0,N/A,55.0,98.5,68.1,N/A,69.4,89.1,69.5,83.6,55.0,60.0
Qatar,2011,70.5,70.0,N/A,70.0,99.8,78.1,N/A,70.3,67.0,71.9,82.4,45.0,50.0
Saudi Arabia,2011,66.2,45.0,N/A,43.0,99.4,74.6,N/A,86.1,77.0,64.3,82.2,40.0,50.0
Syria,2011,51.3,30.0,N/A,26.0,84.6,85.3,N/A,55.9,55.8,69.7,65.4,20.0,20.0
Tunisia,2011,58.5,50.0,N/A,42.0,73.7,77.6,N/A,80.2,65.7,77.3,53.5,35.0,30.0
United Arab Emirates,2011,67.8,50.0,N/A,65.0,99.9,79.1,N/A,67.3,72.4,76.5,82.6,35.0,50.0
Yemen,2011,54.2,30.0,N/A,21.0,83.2,44.5,N/A,73.7,50.9,82.3,81.6,45.0,30.0
Algeria,2010,56.9,30.0,N/A,32.0,83.5,73.4,N/A,71.2,56.4,77.2,70.7,45.0,30.0
Bahrain,2010,76.3,60.0,N/A,54.0,99.9,80.8,N/A,77.8,89.4,73.4,82.9,65.0,80.0
Egypt,2010,59.0,40.0,N/A,28.0,89.7,73.4,N/A,65.0,55.6,64.2,74.0,50.0,50.0
Iran,2010,43.4,10.0,N/A,23.0,81.1,79.6,N/A,69.9,55.1,54.7,50.2,0.0,10.0
Iraq,2010,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Israel,2010,67.7,70.0,N/A,60.0,58.4,35.4,N/A,66.4,65.4,78.2,87.8,85.0,70.0
Jordan,2010,66.1,55.0,N/A,51.0,83.0,55.1,N/A,65.6,74.2,73.2,78.8,65.0,60.0
Kuwait,2010,67.7,50.0,N/A,43.0,99.9,76.6,N/A,65.8,88.0,66.4,82.5,55.0,50.0
Lebanon,2010,59.5,30.0,N/A,30.0,91.6,62.8,N/A,56.6,57.0,71.4,80.5,55.0,60.0
Libya,2010,40.2,10.0,N/A,26.0,81.7,62.8,N/A,20.0,20.0,66.4,85.0,10.0,20.0
Morocco,2010,59.2,40.0,N/A,35.0,68.5,81.5,N/A,76.1,21.7,78.4,71.2,60.0,60.0
Oman,2010,67.7,50.0,N/A,55.0,98.5,57.4,N/A,66.9,86.4,64.8,83.4,55.0,60.0
Qatar,2010,69.0,65.0,N/A,65.0,99.9,73.7,N/A,73.7,69.1,65.9,82.2,45.0,50.0
Saudi Arabia,2010,64.1,40.0,N/A,35.0,99.6,68.1,N/A,84.6,74.4,62.3,82.5,45.0,50.0
Syria,2010,49.4,25.0,N/A,21.0,87.0,80.2,N/A,59.2,64.7,63.3,54.0,20.0,20.0
Tunisia,2010,58.9,50.0,N/A,44.0,74.4,78.5,N/A,80.2,67.4,76.5,53.5,35.0,30.0
United Arab Emirates,2010,67.3,50.0,N/A,59.0,99.9,80.9,N/A,67.4,79.3,68.8,82.8,35.0,50.0
Yemen,2010,54.4,30.0,N/A,23.0,83.2,51.3,N/A,74.4,65.4,65.1,76.1,45.0,30.0
Algeria,2009,56.6,30.0,N/A,30.0,77.2,74.1,N/A,72.5,55.5,78.6,68.6,50.0,30.0
Bahrain,2009,74.8,60.0,N/A,50.0,99.9,79.4,N/A,79.6,85.1,74.0,80.0,60.0,80.0
Egypt,2009,58.0,40.0,N/A,29.0,89.5,66.1,N/A,64.7,61.3,65.9,63.4,50.0,50.0
Iran,2009,44.6,10.0,N/A,25.0,81.0,79.7,N/A,60.6,52.4,60.1,57.4,10.0,10.0
Iraq,2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Israel,2009,67.6,70.0,N/A,61.0,57.1,35.1,N/A,67.8,64.9,83.7,86.0,80.0,70.0
Jordan,2009,65.4,55.0,N/A,47.0,83.0,56.9,N/A,68.9,74.1,80.3,78.8,50.0,60.0
Kuwait,2009,65.6,50.0,N/A,43.0,99.9,63.7,N/A,67.4,79.3,71.7,81.0,50.0,50.0
Lebanon,2009,58.1,30.0,N/A,30.0,91.7,64.1,N/A,60.0,57.4,77.3,80.8,30.0,60.0
Libya,2009,43.5,10.0,N/A,25.0,81.7,68.1,N/A,20.0,20.0,70.3,90.0,30.0,20.0
Morocco,2009,57.7,35.0,N/A,35.0,65.1,76.5,N/A,76.2,30.8,80.5,68.0,60.0,50.0
Oman,2009,67.0,50.0,N/A,47.0,98.5,61.1,N/A,63.3,75.0,71.4,83.6,60.0,60.0
Qatar,2009,65.8,50.0,N/A,60.0,99.9,69.1,N/A,75.7,64.7,67.3,81.6,40.0,50.0
Saudi Arabia,2009,64.3,40.0,N/A,34.0,99.6,73.4,N/A,79.6,76.4,68.4,81.8,40.0,50.0
Syria,2009,51.3,30.0,N/A,24.0,87.0,74.9,N/A,61.4,54.9,67.2,54.0,40.0,20.0
Tunisia,2009,58.0,50.0,N/A,42.0,76.5,78.3,N/A,81.6,60.1,78.4,53.0,30.0,30.0
United Arab Emirates,2009,64.7,40.0,N/A,57.0,99.9,86.3,N/A,57.4,76.2,69.8,80.8,30.0,50.0
Yemen,2009,56.9,30.0,N/A,25.0,83.2,57.1,N/A,74.9,75.8,66.5,76.2,50.0,30.0
Algeria,2008,56.2,30.0,N/A,31.0,77.0,74.6,N/A,73.6,57.0,80.2,68.8,40.0,30.0
Bahrain,2008,72.2,60.0,N/A,57.0,99.7,80.3,N/A,80.0,40.0,74.3,80.8,60.0,90.0
Egypt,2008,58.5,40.0,N/A,33.0,90.8,73.0,N/A,60.2,62.2,69.9,66.0,50.0,40.0
Iran,2008,45.0,10.0,N/A,27.0,81.1,84.5,N/A,55.8,53.1,61.3,57.4,10.0,10.0
Iraq,2008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Israel,2008,66.3,70.0,N/A,59.0,55.9,35.1,N/A,68.6,66.0,81.8,86.6,80.0,60.0
Jordan,2008,64.1,55.0,N/A,53.0,83.7,53.2,N/A,56.3,74.6,80.4,74.8,50.0,60.0
Kuwait,2008,68.1,55.0,N/A,48.0,99.9,74.6,N/A,68.6,80.2,73.8,81.0,50.0,50.0
Lebanon,2008,60.0,30.0,N/A,36.0,91.4,69.5,N/A,55.6,62.2,77.8,77.4,30.0,70.0
Libya,2008,38.7,10.0,N/A,27.0,81.7,63.5,N/A,20.0,20.0,74.9,39.6,30.0,20.0
Morocco,2008,55.6,35.0,N/A,32.0,65.4,73.2,N/A,76.1,31.9,79.8,62.6,60.0,40.0
Oman,2008,67.3,50.0,N/A,54.0,98.5,60.7,N/A,55.8,75.4,74.7,83.6,60.0,60.0
